"Id","Title","Price","CPU_Brand","CPU_Type","CPU_Speed","CPU_Cores","GPU","RAM in GB","Hard Drive / Type","Hard Drive / Capacity (GB)"
"882200"," Msi Gl63 9Sd 1660Ti Gaming Laptop 9S7 16P732 478","1186.56","Intel","Core i7","2.6GHz","6 Cores","NVIDIA GeForce GTX 1660 Ti","16","SSD","256"
"882249"," Hp Probook X360 G3 Intel Celeron 4Gb 64Gb Emmc 11 Win10 Home 6Ms39Es Abu","268.32","Intel","Celeron",,,,"4","eMMC","64"
"882262"," Hp Probook 450 G6 15 Full Hd Core I3 8Gb 128Gb Ssd Win10 Prolaptop 5Tk80Ea Abu","541.65","Intel","Core i3","2.1GHz","Dual-Core","Intel UHD Graphics 620","8","SSD","128"
"882470"," Hp Probook X360 440 G1 14 Core I5 8Gb 256Gb Ssd Win10 Home 2 In 1 Laptop 6Ms33Ea Abu","657.49","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"882602"," Asus Rog Zephyrus 15 6 Ga502Du Gtx1660 Ti Gaming Laptop Ga502Du Al025T","916.65","AMD","Ryzen 7","2.3GHz","Quad-Core","NVIDIA GeForce GTX 1660 Ti","16","SSD","512"
"882603"," Asus Tuf Fx705 17 3 Gtx 1660 Ti R7 3750H Gaming Laptop Fx705Du Au035T","874.97","AMD","Ryzen 7","2.3GHz","Quad-Core","NVIDIA GeForce GTX 1660 Ti / AMD Radeon RX Vega 10","16","SSD","256"
"882950"," Hp Probook 440 G6 14 Core I3 4Gb 128Gb Ssd Win10 Pro Laptop 6Um14Es Abu","475.82","Intel","Core i3","2.1GHz","2 cores","Intel HD Graphics 620","4","SSD","128"
"882966"," Hp Probook X360 11 G3 2 In 1 Laptop 6Um13Es Abu","384.99","Intel","Pentium Silver","1.1GHz","Quad-Core","Intel UHD Graphics 605","4","SSD","128"
"883265"," Medion Akoya S6445 Core I5 8Gb 256Gb Ssd 15 6 Win10 Home Laptop 30025958","446.27","Intel","Core i5","1.6 GHz","Quad core",,"8","SSD","256"
"883266"," Medion Akoya S6445 Core I5 8Gb 512Gb Ssd 15 6 Win10 Pro Laptop 30025960","557.85","Intel","Core i5","1.6 GHz","Quad core",,"8","SSD","512"
"883268"," Medion Akoya S6445 Core I7 8Gb 512Gb Ssd 15 6 Win10 Pro Laptop 30025971","643.93","Intel","Core i7","1.8 GHz","Quad core",,"8","SSD","512"
"883272"," Medion Akoya S4403 14 Core I7 8Gb 512Gb Ssd W10 Home Convertible Laptop 30025977","624.99","Intel","Core i7","1.8 GHz","Quad Core","Intel UHD Graphics","8","SSD","512"
"883277"," Medion Akoya P6685 Core I5 8Gb 1Tb Hdd 128Gb Ssd Geforce Mx150 30026120","474.99","Intel","Core i5","1.6GHz","Quad-Core","NVIDIA GeForce MX150","8","SSD","128"
"883278"," Medion Akoya P6685 Core I5 8Gb 1Tb Hdd 256Gb Ssd Geforce Mx150 30025002","483.47","Intel","Core i5"," 3.4 GHz","Quad core","NVIDIA GeForce MX150","8","HDD","1000"
"883423"," Lnvo V130 81Hn00S6Uk I7 8 256 81Hn00S6Uk","430.82","Intel","Core i7","2.7GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
"883684"," Hp Elitebook X360 830 G5 Core I5 8Gb 256Gb Ssd Win10 Pro 2 In 1 Laptop 6Xc96Et Abu","928.31","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"883691"," Razer Blade Stealth 13 Core I7 16Gb Ram 512Gb Ssd Ultrabook Rz09 02393W32 R3W1","1499.98","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"885207"," Hp Omen X Core I9 32Gb 1Tb Ssd Rtx 2080 15 6 Win10 6Qc95Ea Abu","2727.85","Intel","Core i9","2.3GHz","8-core","NVIDIA GeForce RTX 2080","32","SSD","1000"
"885210"," Hp Omen X Core I7 16Gb 512 Ssd Rtx 2070 15 6 Win10 6Py73Ea Abu","1948.46","Intel","Core i7","2.6GHz","6-core","NVIDIA GeForce RTX 2070","16","SSD","512"
"885239"," Hp 255 G7 Ryzen 5 8Gb 256Gb Hd 15 6In Win10 Pro Laptop 7De73Ea Abu","347.82","AMD","Ryzen 5","2GHz","Quad-Core","AMD Radeon Vega","8","SSD","256"
"885240"," Hp Probook 455 G6 15 Ryzen 5 8Gb 256Gb Ssd Win10 Pro Laptop 6Eb47Ea Abu","608.32","AMD","Ryzen 5","2GHz","Quad-Core","AMD Radeon Vega 8","8","SSD","256"
"885256"," Hp Elitebook 745 G5 14 Ryzen 5 8Gb 256Gb Ssd Amd Vega Win10 Pro Laptop 3Up64Ea Abu","879.15","AMD","Ryzen 5","2GHz","Quad-Core","AMD Radeon Vega","8","SSD","256"
"885347"," Hp Elitebook 830 G6 13 Core I5 8Gb 256Gb Ssd Win10 Pro Laptop 6Xe66Et Abu","978.31","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885356"," Hp 840 G6 I5 8365U 8Gb 256Gb W10P 6Xe68Et Abu","1083.31","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885370"," Hp Elitebook X360 830 G6 Core I5 8Gb 256Gb Ssd 13 3 Win10 6Xd39Ea Abu","1044.98","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885371"," Hp Elitebook X360 830 G6 Core I5 8Gb 256Gb Ssd 13 3 Win10 6Xe09Ea Abu","1772.48","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885406"," Hp 255 G7 Ryzen 5 8Gb 256Gb Full Hd 15 6In Win10 Laptop 7Dc73Ea Abu","315.56","AMD","Ryzen 5","2GHz","Quad-Core","AMD Radeon Vega","8","SSD","256"
"885842"," Lenovo Thinkpad X390 Yoga Core I7 16Gb 512Gb Ssd Win10 Pro 2 In 1 Laptop 20Nn002Nuk","1306.65","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"885843"," Lenovo Thinkpad T490S 14 Core I5 8Gb 256Gb Ssd Win10 Pro Laptop 20Nx002Suk","916.65","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885844"," Lenovo Thinkpad X390 13 Core I7 8Gb 256Gb Ssd Win10 Pro Laptop 20Q0003Wuk","1071.65","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885846"," Lenovo Thinkpad X390 13 Core I7 16Gb 512Gb Ssd Win10 Pro Laptop 20Q0003Vuk","1246.72","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"885847"," Lenovo Thinkpad X390 Yoga Core I5 8Gb 256Gb Ssd Win10 Pro 2 In 1 Laptop 20Nn002Auk","1135.81","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885848"," Lenovo Thinkpad T490S 14 Core I7 8Gb 256Gb Ssd Win10 Pro Laptop 20Nx002Ruk","1019.60","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885849"," Lenovo Thinkpad T490 14 Core I5 8Gb 256Gb Ssd Win10 Pro Laptop 20N20009Uk","799.99","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885850"," Lenovo Thinkpad X390 13 Core I5 8Gb 256Gb Ssd Win10 Pro Laptop 20Q1000Luk","916.65","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885851"," Lenovo Thinkpad X390 Yoga Core I5 8Gb 256Gb Ssd Win10 Pro 2 In 1 Laptop 20Nn0026Uk","958.30","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885852"," Lenovo Thinkpad T490 14 Core I7 8Gb 256Gb Ssd Win10 Pro Laptop 20N2000Ruk","940.81","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"885854"," Lenovo Thinkpad T490S 14 Core I7 16Gb 512Gb Ssd Win10 Pro Laptop 20Nx002Quk","1333.96","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"886606"," Asus Zenbook Pro Duo Laptop 15 6 Uhd I7 9750H 16Gb 2666Mhz Ram 512Gb Ux581Gv H2004T","2170.81","Intel","Core i7","2.6GHz","6-core","NVIDIA GeForce RTX 2060 / Intel UHD Graphics 630","16","SSD","512"
"899326"," Lenovo Thinkpad E595 20Nf 15 Ryzen 7 16Gb 512Gb Ssd Win10 Pro Laptop 20Nf0000Uk","710.06","AMD","Ryzen 7","2.3GHz","Quad-Core","AMD Radeon RX Vega 10","16","SSD","512"
